월,거래량,기준금리_변화,주담대금리_변화,소비자물가지수_변화율,아파트매매가격지수_변화율
2,8403,0.0,0.010000000000000231,0.000699370566490165,0.0011531365313652842
3,4634,-0.5,-0.040000000000000036,-0.0021964856230032304,0.0010366275051831852
4,3165,0.0,0.10000000000000009,-0.0044026415849509615,-0.0010355540214015413
5,5819,-0.25,-0.06000000000000005,-0.000603015075376856,-0.001958074176456881
6,16404,0.0,-0.029999999999999805,0.0027152051488334994,0.001269474899018963
7,11168,0.0,-0.040000000000000036,-0.0008023267475679718,0.011295527893038226
8,5166,0.0,-0.06000000000000005,0.005620796948710316,0.005470708912696631
9,3929,0.0,0.04999999999999982,0.00548956981734694,0.0029471775107685616
10,4579,0.0,0.03000000000000025,-0.005558864403414576,0.0011301989150089842
11,6510,0.0,0.08999999999999986,-0.00089838291076072,0.0011289230074509327
12,7740,0.0,0.029999999999999805,0.0023978419422518993,0.002819124943617579
1,5956,0.0,0.040000000000000036,0.007076647064686581,0.003935679748116483
2,3997,0.0,0.03000000000000025,0.005344418052256383,0.006720430107526765
3,3885,0.0,0.06999999999999984,0.0025595589683009567,0.004895416110369366
4,3761,0.0,0.0,0.001374705420267075,0.004317980513729003
5,5049,0.0,-0.040000000000000036,0.0006864090998235373,0.004740381435343499
6,4056,0.0,0.050000000000000266,0.0,0.00987491770901916
7,4800,0.0,0.06999999999999984,0.0020578147966683336,0.008039982616253827
8,4205,0.25,0.06999999999999984,0.004791707412477919,0.00926923906014232
9,2801,0.0,0.1299999999999999,0.004087591240875987,0.008970525416488684
10,2296,0.0,0.25,0.0017446932247746627,0.008255715495342875
11,1444,0.25,0.25,0.005031446540880502,0.005983623766533608
12,1179,0.0,0.1200000000000001,0.0016366612111293755,0.0024000834811646055
1,1143,0.25,0.2200000000000002,0.007785467128027523,0.00010410160316465245
2,857,0.0,0.029999999999999805,0.005436337625178922,-0.0008327261371916528
3,1563,0.0,-0.040000000000000036,0.00645038892050831,-0.0007292426294405185
4,1838,0.25,0.06000000000000005,0.006880301602262051,-0.00010425354462062497
5,1844,0.25,0.0,0.0062716465412338,-0.00010426441455524404
6,1146,0.0,0.14000000000000012,0.006604651162790631,-0.0007299270072993469
7,692,0.5,0.1200000000000001,0.004805470843729953,-0.0022957320254617386
8,805,0.25,0.1899999999999995,-0.0009197093718386062,-0.004497437506536861
9,658,0.0,0.4400000000000004,0.0017490564300837175,-0.007564614414793169
10,577,0.5,0.03000000000000025,0.003124425657048402,-0.012386195214905693
11,768,0.25,-0.08000000000000007,-0.0008244778307072709,-0.020580984028298888
12,910,0.0,-0.11000000000000032,0.001742000550105649,-0.029659625697712633
1,1497,0.25,-0.04999999999999982,0.007413509060955503,-0.017708098353259594
2,2556,0.0,-0.020000000000000462,0.0023621331879712937,-0.010908255827305147
3,3110,0.0,-0.15999999999999925,0.001722106408048596,-0.007081495240306435
4,3335,0.0,-0.16000000000000014,0.0022620340209915657,-0.003975213375423836
5,3490,0.0,-0.03000000000000025,0.003249977430712203,0.00011738466956212612
6,4032,0.0,0.04999999999999982,0.0002699541078017287,0.0017605633802815213
7,3758,0.0,0.020000000000000462,0.0011694854264123755,0.0025776215582893336
8,4052,0.0,0.02999999999999936,0.00889567795848678,0.004908262241439809
9,3520,0.0,0.040000000000000036,0.005076594228713871,0.004884288870798947
10,2423,0.0,0.20999999999999996,0.0037217545414267583,0.0037032750839023354
11,1934,0.0,-0.07999999999999918,-0.0052087931491126005,0.001268303931742265
12,1875,0.0,-0.3200000000000003,0.0004437344692935774,-0.0012666973744818177
1,2693,0.0,-0.16999999999999993,0.003903131375853741,-0.0017295053614666545
2,2729,0.0,-0.03000000000000025,0.005390121056817243,-0.001386001386001423
3,4466,0.0,-0.020000000000000018,0.001494111443135937,-0.00011566042100386031
4,4659,0.0,-0.009999999999999787,0.0005265467310224814,0.0012724117987275019
5,5321,0.0,-0.020000000000000018,0.0007894044382070753,0.0019639556377080147
6,7962,0.0,-0.20000000000000018,-0.00227870289219978,0.005534417156693117
7,9268,0.0,-0.20999999999999996,0.002547434996486242,0.011925237931429855
8,6561,0.0,0.009999999999999787,0.0035923946376938964,0.012804532577903593
9,3198,0.0,0.23000000000000043,0.0009603631918979616,0.007943611546207263
10,3935,-0.25,0.3099999999999996,0.00034888791975573596,0.0043290043290042934
11,3560,-0.25,0.25,-0.002528555235853047,0.002541998231653242
12,3398,0.0,-0.04999999999999982,0.004458041958041781,0.0008819314298313952
1,3589,0.0,0.019999999999999574,0.006961970237577164,0.00011014428901856554
2,6817,-0.25,-0.03999999999999915,0.0031976492956529157,0.0024229074889867697
3,10693,0.0,-0.0600000000000005,0.0018090971743625062,0.008020215337288583
4,5757,0.0,-0.18999999999999995,0.0007739272508382466,0.003269754768392419
5,8563,-0.25,-0.10999999999999988,-0.000945179584120992,0.005540467137425287
6,12614,0.0,0.06000000000000005,0.00034402683409306967,0.01436905790838372
7,4637,0.0,0.029999999999999805,0.0018055197317512484,0.010863776760038357
8,4614,0.0,0.0,-0.0006007552351526835,0.004846696870719702
9,9083,0.0,0.0,0.005238299699441784,0.005871867463562941
10,8948,0.0,0.020000000000000018,0.003075345976422339,0.014281246742416265
11,3525,0.0,0.18999999999999995,-0.0018736160790324696,0.008119218910585868
12,4936,0.0,0.0600000000000005,0.003156996587030614,0.008665511265164572
1,5550,0.0,0.05999999999999961,0.003912562728587199,0.010713563776025836
2,5980,0.0,0.03000000000000025,0.0031347962382446415,0.007399999999999851
3,5702,0.0,0.019999999999999574,0.0033783783783782884,0.0033750248163588736
4,8832,0.0,-0.03000000000000025,0.004797979797979801,0.005540166204986097
5,8917,0.0,0.010000000000000675,0.004607522828181221,0.010527351436442345
