년,월,시도,거래량,기준금리,주택담보대출금리,아파트 매매가격지수,소비자물가지수
2020,1,서울특별시,6500,1.25,2.51,86.72,100.09
2020,2,서울특별시,8403,1.25,2.52,86.82,100.16
2020,3,서울특별시,4634,0.75,2.48,86.91,99.94
2020,4,서울특별시,3165,0.75,2.58,86.82,99.5
2020,5,서울특별시,5819,0.5,2.52,86.65,99.44
2020,6,서울특별시,16404,0.5,2.49,86.76,99.71
2020,7,서울특별시,11168,0.5,2.45,87.74,99.63
2020,8,서울특별시,5166,0.5,2.39,88.22,100.19
2020,9,서울특별시,3929,0.5,2.44,88.48,100.74
2020,10,서울특별시,4579,0.5,2.47,88.58,100.18
2020,11,서울특별시,6510,0.5,2.56,88.68,100.09
2020,12,서울특별시,7740,0.5,2.59,88.93,100.33
2021,1,서울특별시,5956,0.5,2.63,89.28,101.04
2021,2,서울특별시,3997,0.5,2.66,89.88,101.58
2021,3,서울특별시,3885,0.5,2.73,90.32,101.84
2021,4,서울특별시,3761,0.5,2.73,90.71,101.98
2021,5,서울특별시,5049,0.5,2.69,91.14,102.05
2021,6,서울특별시,4056,0.5,2.74,92.04,102.05
2021,7,서울특별시,4800,0.5,2.81,92.78,102.26
2021,8,서울특별시,4205,0.75,2.88,93.64,102.75
2021,9,서울특별시,2801,0.75,3.01,94.48,103.17
2021,10,서울특별시,2296,0.75,3.26,95.26,103.35
2021,11,서울특별시,1444,1.0,3.51,95.83,103.87
2021,12,서울특별시,1179,1.0,3.63,96.06,104.04
2022,1,서울특별시,1143,1.25,3.85,96.07,104.85
2022,2,서울특별시,857,1.25,3.88,95.99,105.42
2022,3,서울특별시,1563,1.25,3.84,95.92,106.1
2022,4,서울특별시,1838,1.5,3.9,95.91,106.83
2022,5,서울특별시,1844,1.75,3.9,95.9,107.5
2022,6,서울특별시,1146,1.75,4.04,95.83,108.21
2022,7,서울특별시,692,2.25,4.16,95.61,108.73
2022,8,서울특별시,805,2.5,4.35,95.18,108.63
2022,9,서울특별시,658,2.5,4.79,94.46,108.82
2022,10,서울특별시,577,3.0,4.82,93.29,109.16
2022,11,서울특별시,768,3.25,4.74,91.37,109.07
2022,12,서울특별시,910,3.25,4.63,88.66,109.26
2023,1,서울특별시,1497,3.5,4.58,87.09,110.07
2023,2,서울특별시,2556,3.5,4.56,86.14,110.33
2023,3,서울특별시,3110,3.5,4.4,85.53,110.52
2023,4,서울특별시,3335,3.5,4.24,85.19,110.77
2023,5,서울특별시,3490,3.5,4.21,85.2,111.13
2023,6,서울특별시,4032,3.5,4.26,85.35,111.16
2023,7,서울특별시,3758,3.5,4.28,85.57,111.29
2023,8,서울특별시,4052,3.5,4.31,85.99,112.28
2023,9,서울특별시,3520,3.5,4.35,86.41,112.85
2023,10,서울특별시,2423,3.5,4.56,86.73,113.27
2023,11,서울특별시,1934,3.5,4.48,86.84,112.68
2023,12,서울특별시,1875,3.5,4.16,86.73,112.73
2024,1,서울특별시,2693,3.5,3.99,86.58,113.17
2024,2,서울특별시,2729,3.5,3.96,86.46,113.78
2024,3,서울특별시,4466,3.5,3.94,86.45,113.95
2024,4,서울특별시,4659,3.5,3.93,86.56,114.01
2024,5,서울특별시,5321,3.5,3.91,86.73,114.1
2024,6,서울특별시,7962,3.5,3.71,87.21,113.84
2024,7,서울특별시,9268,3.5,3.5,88.25,114.13
2024,8,서울특별시,6561,3.5,3.51,89.38,114.54
2024,9,서울특별시,3198,3.5,3.74,90.09,114.65
2024,10,서울특별시,3935,3.25,4.05,90.48,114.69
2024,11,서울특별시,3560,3.0,4.3,90.71,114.4
2024,12,서울특별시,3398,3.0,4.25,90.79,114.91
2025,1,서울특별시,3589,3.0,4.27,90.8,115.71
2025,2,서울특별시,6817,2.75,4.23,91.02,116.08
2025,3,서울특별시,10693,2.75,4.17,91.75,116.29
2025,4,서울특별시,5757,2.75,3.98,92.05,116.38
2025,5,서울특별시,8563,2.5,3.87,92.56,116.27
2025,6,서울특별시,12614,2.5,3.93,93.89,116.31
2025,7,서울특별시,4637,2.5,3.96,94.91,116.52
2025,8,서울특별시,4614,2.5,3.96,95.37,116.45
2025,9,서울특별시,9083,2.5,3.96,95.93,117.06
2025,10,서울특별시,8948,2.5,3.98,97.3,117.42
2025,11,서울특별시,3525,2.5,4.17,98.09,117.2
2025,12,서울특별시,4936,2.5,4.23,98.94,117.57
2026,1,서울특별시,5550,2.5,4.29,100.0,118.03
2026,2,서울특별시,5980,2.5,4.32,100.74,118.4
2026,3,서울특별시,5702,2.5,4.34,101.08,118.8
2026,4,서울특별시,8832,2.5,4.31,101.64,119.37
2026,5,서울특별시,8917,2.5,4.32,102.71,119.92
